ID;Gender;Jahr;Gattung;Publikationsort (Stadt);Publikationsort (Land)
1;w;1787;Lyrik;Wien;Österreich
2;m;1666;Lyrik;Oldenburg;Deutschland
3;m;1751;Lyrik;Hamburg;Deutschland
4;m;1803;Lyrik;Halberstadt;Deutschland
5;m;1985;Lyrik;Frankfurt am Main;Deutschland
6;w;1796;Lyrik;Leipzig;Deutschland
7;m;1924;Lyrik;Leipzig;Deutschland
8;m;1956;Lyrik;St. Gallen;Schweiz
9;m;1984;Lyrik;Heidelberg;Deutschland
10;m;2000;Lyrik;München;Deutschland
11;w;1792;Drama;Leipzig;Deutschland
12;w;1983;Prosa;Berlin;Deutschland
13;w;1984;Prosa;München;Deutschland
14;m;1799;Lyrik;Berlin;Deutschland
15;m;1819;Drama;Leipzig;Deutschland
16;w;1851;Lyrik;Darmstadt;Deutschland
17;m;1776;Lyrik;Hamburg;Deutschland
18;w;1800;Prosa;Tübingen;Deutschland
19;m;1978;Lyrik;München;Deutschland
20;m;1776;Lyrik;Göttingen;Deutschland
21;w;1843;Prosa;Berlin;Deutschland
22;m;2016;Lyrik;St. Gallen;Schweiz
23;w;1801;Prosa;Hamburg;Deutschland
23;w;1801;Prosa;Frankfurt a.M.;Deutschland
24;m;1864;Prosa;Stuttgart;Deutschland
25;m;1863;Lyrik;Stuttgart;Deutschland
26;w;1982;Lyrik;Berlin;Deutschland
27;m;1789;Drama;Leipzig;Deutschland
28;m;1990;Lyrik;München;Deutschland
28;m;1990;Lyrik;Wien;Österreich
29;m;1792;Lyrik;Stuttgart;Deutschland
30;w;2014;Lyrik;Greifswald;Deutschland
31;m;1990;Prosa;München;Deutschland
32;w;1983;Lyrik;Pfaffenweiler;Deutschland
33;m;2008;Lyrik;Berlin;Deutschland
34;m;1774;Prosa;Lemgo;Deutschland
35;m;1851;Lyrik;Stuttgart;Deutschland
35;m;1851;Lyrik;Augsburg;Deutschland
36;m;1741;Lyrik;Leipzig;Deutschland
37;m;1799;Prosa;Berlin;Deutschland
38;m;2014;Prosa;Greifswald;Deutschland
39;m;1785;Drama;Hamburg;Deutschland
40;w;1775;Lyrik;Düsseldorf;Deutschland
41;m;1964;Lyrik;Frankfurt am Main;Deutschland
42;w;2014;Lyrik;Greifswald;Deutschland
43;w;1995;Lyrik;Frankfurt am Main;Deutschland
44;w;1973;Lyrik;Berlin;Deutschland
44;w;1973;Lyrik;Weimar;Deutschland
45;m;1917;Lyrik;Leipzig;Deutschland
46;m;1731;Lyrik;Leipzig;Deutschland
47;m;1959;Lyrik;Berlin;Deutschland
48;m;1919;Lyrik;Hannover;Deutschland
49;m;1788;Lyrik;Stuttgart;Deutschland
50;m;1806;Lyrik;Berlin;Deutschland
50;w;1806;Lyrik;Berlin;Deutschland
51;w;1761;Lyrik;Berlin;Deutschland
52;m;1790;Drama;Augsburg;Deutschland
53;w;1889;Lyrik;Wien;Österreich
54;w;1880;Prosa;Leipzig;Deutschland
55;w;1835;Lyrik;Leipzig;Deutschland
56;w;1936;Lyrik;Frankfurt am Main;Deutschland
57;w;1901;Lyrik;Eberswalde;Deutschland
58;m;1905;Lyrik;Berlin;Deutschland
59;m;1904;Lyrik;Wien;Österreich
60;w;1900;Lyrik;Berlin;Deutschland
61;w;1820;Lyrik;Leipzig;Deutschland
62;m;1907;Lyrik;Leipzig;Deutschland
63;w;1806;Lyrik;Tübingen;Deutschland
64;m;1812;Lyrik;Leipzig;Deutschland
65;m;1904;Prosa;Berlin;Deutschland
65;m;1904;Prosa;Leipzig;Deutschland
66;m;1950;Lyrik;Münster;Deutschland
67;m;1986;Lyrik;Stuttgart;Deutschland
68;w;2021;Lyrik;Wien;Österreich
69;m;2018;Lyrik;Berlin;Deutschland
70;w;1978;Drama;München;Deutschland
71;w;1889;Lyrik;Breslau;Polen
72;m;1782;Lyrik;Gießen;Deutschland
73;m;1807;Lyrik;Tübingen;Deutschland
74;w;2005;Prosa;Heinrichshofen;Deutschland
75;m;2010;Lyrik;Zürich;Schweiz
76;w;1951;Drama;Bern;Schweiz
77;m;1793;Drama;Berlin;Deutschland
78;m;1986;Prosa;München;Deutschland
78;m;1986;Prosa;Berlin;Deutschland
79;w;1902;Prosa;Stuttgart;Deutschland
79;w;1902;Prosa;Wien;Österreich
80;m;2001;Prosa;München;Deutschland
81;m;1818;Drama;Wien;Österreich
82;m;2008;Lyrik;Reinbek bei Hamburg;Deutschland
83;w;1809;Lyrik;Hamburg;Deutschland
84;w;2021;Prosa;Frankfurt am Main;Deutschland
85;m;1999;Lyrik;Grimma;Deutschland
86;m;2004;Lyrik;Online;
87;w;2012;Prosa;Wien;Österreich
88;m;1854;Drama;Wien;Österreich
89;w;2010;Lyrik;Berlin;Deutschland
90;w;1983;Prosa;Hamburg;Deutschland
91;m;1979;Lyrik;Berlin;Deutschland
92;m;1981;Lyrik;München;Deutschland
93;m;2019;Lyrik;Frankfurt am Main;Deutschland
94;w;1954;Lyrik;Berlin;Deutschland
94;w;1954;Lyrik;Weimar;Deutschland
95;m;1981;Lyrik;Düsseldorf;Deutschland
96;m;1554;Prosa;Straßburg;Frankreich
97;w;1638;Lyrik;Danzig;Polen
98;m;1997;Lyrik;Graz;Österreich
99;m;1897;Prosa;Freiburg im Breisgau;Deutschland